model_version,launch_height_m,requires_deployment,horizontal_distance_m,launch_angle_deg,status,required_exit_speed_m_s,flight_time_s,entry_angle_deg,apex_height_m,specific_kinetic_energy_j_kg,wheel_rpm_96mm_at_nominal_ratio,wheel_rpm_120mm_at_nominal_ratio
P3-BAL-0.1,0.4,false,0.75,50.0,INFEASIBLE_AT_THIS_ANGLE,,,,,,,
P3-BAL-0.1,0.4,false,0.75,55.0,CALCULATED_VACUUM_MODEL,23.3618,0.056,54.2128,19.0719,272.8858,7150.3,5720.2
P3-BAL-0.1,0.4,false,0.75,60.0,CALCULATED_VACUUM_MODEL,6.734,0.2227,47.2893,2.1341,22.6737,2061.1,1648.9
P3-BAL-0.1,0.4,false,1.0,50.0,CALCULATED_VACUUM_MODEL,9.3412,0.1665,42.6062,3.0107,43.629,2859.0,2287.2
P3-BAL-0.1,0.4,false,1.0,55.0,CALCULATED_VACUUM_MODEL,6.3263,0.2756,34.3468,1.7692,20.0111,1936.3,1549.0
P3-BAL-0.1,0.4,false,1.0,60.0,CALCULATED_VACUUM_MODEL,5.3852,0.3714,20.7792,1.509,14.5004,1648.2,1318.6
P3-BAL-0.1,0.4,false,1.5,50.0,CALCULATED_VACUUM_MODEL,6.0402,0.3863,12.1839,1.4916,18.2418,1848.7,1479.0
P3-BAL-0.1,0.4,false,1.5,55.0,CALCULATED_VACUUM_MODEL,5.5557,0.4707,-1.1733,1.456,15.4327,1700.4,1360.3
P3-BAL-0.1,0.4,false,1.5,60.0,CALCULATED_VACUUM_MODEL,5.3491,0.5608,-17.9722,1.4941,14.3063,1637.2,1309.7
P3-BAL-0.1,0.4,false,2.0,50.0,CALCULATED_VACUUM_MODEL,5.9793,0.5204,-7.7449,1.4697,17.8759,1830.1,1464.0
P3-BAL-0.1,0.4,false,2.0,55.0,CALCULATED_VACUUM_MODEL,5.7542,0.606,-20.4252,1.5328,16.5552,1761.2,1408.9
P3-BAL-0.1,0.4,false,2.0,60.0,CALCULATED_VACUUM_MODEL,5.7075,0.7008,-34.0705,1.6457,16.2877,1746.9,1397.5
P3-BAL-0.1,0.55,true,0.75,50.0,INFEASIBLE_AT_THIS_ANGLE,,,,,,,
P3-BAL-0.1,0.55,true,0.75,55.0,CALCULATED_VACUUM_MODEL,7.1203,0.1836,44.6305,2.2845,25.3494,2179.3,1743.4
P3-BAL-0.1,0.55,true,0.75,60.0,CALCULATED_VACUUM_MODEL,5.2964,0.2832,34.3441,1.6227,14.026,1621.1,1296.8
P3-BAL-0.1,0.55,true,1.0,50.0,CALCULATED_VACUUM_MODEL,6.4416,0.2415,31.7884,1.7915,20.7469,1971.6,1577.2
P3-BAL-0.1,0.55,true,1.0,55.0,CALCULATED_VACUUM_MODEL,5.3414,0.3264,20.9744,1.5261,14.2652,1634.8,1307.9
P3-BAL-0.1,0.55,true,1.0,60.0,CALCULATED_VACUUM_MODEL,4.872,0.4105,4.5426,1.4577,11.8681,1491.2,1192.9
P3-BAL-0.1,0.55,true,1.5,50.0,CALCULATED_VACUUM_MODEL,5.5026,0.4241,0.9117,1.4559,15.139,1684.2,1347.3
P3-BAL-0.1,0.55,true,1.5,55.0,CALCULATED_VACUUM_MODEL,5.2078,0.5022,-12.4337,1.4779,13.5605,1593.9,1275.1
P3-BAL-0.1,0.55,true,1.5,60.0,CALCULATED_VACUUM_MODEL,5.1065,0.5875,-27.6718,1.5471,13.0382,1562.9,1250.3
P3-BAL-0.1,0.55,true,2.0,50.0,CALCULATED_VACUUM_MODEL,5.6677,0.549,-15.9607,1.5111,16.0614,1734.7,1387.8
P3-BAL-0.1,0.55,true,2.0,55.0,CALCULATED_VACUUM_MODEL,5.5285,0.6307,-27.5825,1.5957,15.2821,1692.1,1353.7
P3-BAL-0.1,0.55,true,2.0,60.0,CALCULATED_VACUUM_MODEL,5.5376,0.7223,-39.567,1.7226,15.3328,1694.9,1355.9
P3-BAL-0.1,0.7,true,0.75,50.0,CALCULATED_VACUUM_MODEL,6.9534,0.1678,39.4742,2.1466,24.1749,2128.2,1702.6
